id,open_date,type,P1,P2,P3,P4,P5,P6,P7,P8,revenue
62465,04/18/2008,FC,4,4,4,5,0,1,5,5,14080539
85264,10/12/2013,IL,4,4,3,5,0,4,5,5,13167284
75894,03/31/2011,FC,5,3,3,8,0,1,5,4,14982954
59012,05/01/2013,FC,4,4,1,4,18,4,10,3,10283551
1902,05/01/2010,FC,3,6,4,5,0,3,5,5,12481409
46462,04/19/2013,IL,3,4,15,5,0,5,4,6,13468789
15703,12/06/2013,FC,4,4,2,5,3,3,4,5,12926838
87808,12/08/2012,IL,3,4,2,4,4,1,4,4.5,12956588
51915,09/23/2008,FC,3,6,9,4,0,1,10,3,13987002
21031,09/20/2013,FC,1,4,3,4,0,3,5,2,12923327
37045,08/11/2010,FC,3,5,4,4,0,2,5,5,12993921
29281,09/26/2009,IL,5,6,3,5,0,2,4,7.5,13623167
77187,07/15/2013,IL,20,5,1,5,0,1,5,3,19145093
51989,10/29/2007,FC,5,4,2,4,0,1,5,4,13350360
36262,11/05/2008,IL,3,3,4,5,4,1,5,4,13064457
21988,01/07/2011,IL,5,4,2,5,0,5,5,4.5,13142690
36951,03/05/1996,FC,10,3,3,5,0,3,5,4.5,15656042
49773,02/26/2010,FC,4,6,3,10,0,5,8,5,13045489
97543,06/13/2006,FC,20,5,4,5,0,4,4,3,19140868
61524,06/01/2010,IL,5,6,3,10,0,5,5,5,13389030
42356,11/25/2008,IL,25,7.5,2,5,0,1,5,5,20632467
84558,02/01/2011,FC,20,5,4,5,0,1,5,4,19676852
29044,05/18/2011,FC,1,3,3,10,0,4,4,4,12613285
68078,03/19/2009,FC,5,7.5,5,5,0,2,10,1,13770601
37132,07/17/2009,IL,10,4,2,5,0,1,5,4,16208468
77697,10/17/1995,IL,25,6,3,5,0,1,4,5,21905831
963,03/09/1998,FC,5,3,2,5,0,10,4,2,11711051
83004,10/23/2004,FC,25,4,4,5,18,1,5,5,18827655
55267,09/15/2006,FC,4,4,4,5,0,10,5,1.5,11595566
63700,08/11/2007,IL,5,4,2,5,12,1,5,3,12582682
13926,05/01/1998,IL,1,3,12,5,3,10,5,4,10448582
25982,05/02/2013,IL,5,4,4,5,0,5,4,3,13296962
57536,12/24/2010,FC,2,4,2,5,0,1,5,7.5,13890697
61652,12/23/2012,IL,1,4,12,4,5,1,4,5,13680045
60297,01/23/2009,FC,1,4,1,5,4,5,4,5,12601825
51977,09/15/2007,FC,10,3,2,5,3,3,4,5,15108718
97447,09/09/2010,FC,3,4,6,8,0,2,4,7.5,13680036
1757,08/06/2009,FC,5,3,3,5,18,5,5,4,10879181
17666,10/04/2013,FC,3,4,4,5,3,5,4,2,12149657
15888,12/03/2013,FC,1,6,9,5,0,1,8,4,13733953
48731,07/17/2009,IL,5,4,1,5,0,1,4,4,15087237
3901,07/15/2013,FC,3,5,12,10,0,3,4,5,11737645
63956,01/18/2013,IL,25,4,3,4,2,1,5,7.5,20078695
25873,03/17/2007,FC,3,6,4,5,0,1,4,3,13461843
29619,07/05/1997,FC,3,7.5,1,5,0,5,5,4,12160792
40397,08/25/2006,FC,3,5,2,5,4,1,5,4.5,13253870
51080,01/31/2012,IL,5,7.5,4,5,0,1,5,2,14378071
74629,03/07/2011,FC,25,4,4,4,0,20,4,5,15875360
89816,06/29/1997,IL,2,5,5,8,0,3,5,3,12813752
7863,01/23/2009,FC,1,4,2,5,0,1,5,3,12874092
96532,12/06/2013,IL,3,4,4,5,4,4,5,5,12922457
73104,09/01/2001,IL,2,5,1,4,0,2,4,5,14018256
64390,02/19/2004,FC,3,4,4,5,0,4,5,4,13440487
23345,01/17/2012,IL,3,4,3,5,0,2,5,5,13767379
76340,05/15/2012,FC,1,6,1,5,3,1,8,5,11738062
30469,11/05/2008,IL,3,4,4,8,0,2,5,4,12799464
57932,06/14/2013,FC,2,4,6,4,0,5,5,7.5,13898310
39923,04/17/2009,FC,3,4,3,5,0,4,5,5,13907055
91333,07/15/2013,IL,1,6,1,10,0,2,5,3,11338287
43100,12/28/2011,FC,3,3,5,5,18,1,10,5,12096049
75870,02/09/2010,IL,25,6,6,5,0,1,5,5,21746546
2170,05/01/2009,FC,4,4,2,4,2,2,5,5,13320122
76156,10/12/2013,IL,3,4,2,5,0,3,5,2,12776238
98344,11/27/2011,FC,3,3,3,5,0,1,5,3,15023533
57723,07/14/2000,IL,2,5,2,5,5,4,5,5,11519352
28809,09/26/2006,FC,25,4,3,4,4,25,5,2,14042150
21608,04/06/1998,IL,5,7.5,3,4,0,3,5,5,13294623
11263,07/14/2007,FC,2,6,5,4,0,4,4,4,13333596
87999,06/18/2007,FC,2,6,4,4,0,10,8,3,10659680
64401,07/30/2010,IL,2,4,2,4,0,4,4,4,12847358
94277,03/07/2011,IL,2,4,1,4,0,2,5,3,12453073
34450,04/04/2008,IL,20,4,4,4,0,1,5,7.5,19757504
86383,12/07/2004,DT,5,3,2,4,4,25,4,7.5,7195860
57771,04/08/2010,FC,25,4,3,4,5,1,4,7.5,20606004
86615,04/28/2012,DT,4,4,4,4,0,15,4,2,8425350
95466,06/28/2012,FC,25,3,2,5,3,1,4,3,20737093
16154,12/07/2004,IL,2,3,4,5,0,1,4,5,13545523
6735,06/06/2003,FC,2,5,3,4,4,2,8,3,12089425
13715,06/06/2013,FC,4,3,2,5,0,1,4,5,14352421
58599,06/24/2011,IL,3,4,9,5,0,5,5,6,13470717
94049,07/23/2011,IL,3,3,3,5,0,1,8,6,14126259
93613,04/18/2006,FC,25,4,2,5,0,1,5,6,20695974
41888,04/17/2009,FC,1,7.5,4,5,4,25,5,3,4914610
21048,05/24/2007,IL,3,6,4,5,0,1,4,7.5,13600119
96723,07/30/2010,FC,3,5,5,5,4,1,4,5,13475951
26326,03/19/2009,FC,3,3,12,4,0,2,4,4,14229012
34500,09/06/1996,IL,1,5,12,5,0,2,5,4,13468691
29398,04/22/2008,IL,3,4,2,5,0,1,4,4,13518009
26789,03/26/2005,IL,5,4,3,4,0,2,4,3,14038695
1833,10/28/2012,FC,3,4,4,5,5,1,5,5,13150045
62573,02/11/1998,IL,4,3,4,10,0,1,4,5,14731031
19951,09/14/2009,FC,15,4,1,4,3,3,4,5,17469639
41223,08/25/2007,IL,3,3,3,4,4,2,5,4,15856431
13935,03/26/2005,FC,5,4,3,5,4,5,5,5,13040012
2006,07/31/2013,IL,10,3,2,5,0,1,4,5,16081486
26456,01/31/2012,IL,5,4.5,6,5,0,1,4,5,14557352
32972,08/02/2011,IL,5,4,4,5,0,5,4,3,13672354
38875,01/27/2005,IL,5,4,4,5,0,2,4,3,13451593
94659,01/03/2013,FC,5,6,4,5,3,5,4,5,13832439
16604,11/17/2009,FC,2,4,4,5,0,15,5,4,9545234
16801,01/15/2013,FC,5,5,4,8,0,20,4,5,9067195
95603,08/28/2009,MB,1,7.5,2,5,5,5,4,5,12329872
77421,05/18/2011,IL,3,4,4,4,0,1,5,3,13552685
7568,03/19/2009,FC,3,4,4,5,4,3,5,5,12638471
43484,09/09/2013,FC,5,4,1,4,0,1,10,2,16408333
24643,06/05/1999,FC,1,7.5,3,10,0,1,4,5,12460412
49068,08/22/2004,FC,1,4,5,4,0,10,10,5,11113478
8750,05/06/2013,IL,3,4,4,5,0,5,5,2,12627254
44468,11/26/2010,FC,25,6,2,4,4,3,5,5,20142955
65882,07/04/2009,IL,25,5,4,5,0,2,5,4,20907432
83771,09/01/2001,FC,5,4,3,4,0,1,5,5,14339856
25755,07/10/2004,IL,5,4,5,4,6,2,5,4,11299486
48113,11/29/2007,FC,2,4,3,4,0,1,4,5,12595115
7874,01/22/2011,FC,1,4,1,5,0,4,5,4,12391828
45548,06/01/2009,FC,3,4,2,10,0,1,5,5,13229176
43607,04/28/2012,IL,5,4,3,5,0,4,5,4,13508757
88498,07/31/2013,IL,10,4,2,4,0,1,10,1.5,16451060
901,09/26/2009,IL,1,5,3,8,0,25,4,5,8262822
27235,12/16/2009,IL,3,4,2,5,3,25,4,5,6515386
77401,06/24/2012,FC,2,6,12,5,3,1,5,7.5,13178773
89840,06/07/2013,FC,3,6,2,10,4,15,10,3,8820630
91279,08/13/2011,FC,2,4,3,4,3,2,4,2,13595233
11959,09/26/2006,IL,1,4,5,5,0,5,5,3,12575916
27779,11/27/2011,IL,4,5,12,5,0,2,5,4,14510990
75326,05/24/2007,IL,5,4,12,5,0,5,4,5,13802315
28440,05/01/2013,FC,2,6,2,4,3,3,10,1.5,11530890
40,09/19/2009,IL,5,4,4,5,3,5,5,5,12905330
39461,05/01/1998,FC,2,4,4,4,0,1,4,5,13575512
78313,12/20/2003,FC,5,4,3,5,12,4,4,4,13439870
40012,04/09/2000,FC,5,4,12,5,5,1,4,5,14199758
61475,08/14/2009,FC,5,4,3,5,0,1,4,5,14454401
14402,02/26/2011,IL,3,5,3,8,2,5,5,2,11954456
75673,08/13/2011,FC,5,6,4,5,24,1,4,5,9988295
52765,05/30/2006,FC,5,3,2,5,0,1,5,5,14354812
12767,09/26/2009,FC,3,4,9,4,3,10,4,5,11371685
15840,09/15/2006,IL,5,6,3,4,0,2,4,5,13797897
57942,10/11/2010,IL,25,3,1,10,0,4,4,4,21551192
59693,07/28/2000,IL,5,4,2,5,0,2,5,4,14892984
96270,04/19/2013,FC,3,5,4,4,0,3,4,6,13151345
53212,06/01/2010,FC,15,4,2,4,5,3,5,4,16831942
62376,04/06/1998,FC,5,4,4,5,3,1,4,2,14979197
37391,01/31/2012,IL,25,4,2,4,0,1,4,2,21083086
57933,03/02/1998,FC,25,4,2,5,24,1,4,2,18468168
4387,10/06/2007,FC,1,4,3,10,0,5,4,4,11772725
66184,09/09/2005,IL,5,5,3,4,0,2,4,5,13908235
55319,04/28/2012,IL,3,4,3,5,0,1,10,5,14150629
69513,09/04/2009,IL,25,4,2,5,0,3,8,1,20900812
77263,01/22/2011,FC,3,6,4,4,0,1,5,3,14269609
31175,10/18/2012,FC,3,3,4,5,0,2,5,7.5,13631612
84559,04/22/2008,IL,2,3,2,5,3,5,5,5,11286252
84298,10/06/2010,IL,5,4,4,10,4,4,5,4,13037909
7775,04/06/1998,IL,25,6,3,5,3,1,4,6,20510030
75351,07/30/2010,FC,5,4,5,4,0,1,4,3,12504869
31936,01/31/2012,FC,15,4,4,5,0,1,5,4,18195706
72970,01/26/2012,IL,2,5,3,5,0,1,5,5,13339553
21820,04/17/2009,IL,2,4,3,5,4,3,8,7.5,12183978
61502,02/29/2012,FC,4,4,4,5,24,2,4,5,10922260
37446,01/04/2014,IL,25,4,12,10,0,3,5,3,22131234
46272,05/16/2008,FC,25,4,4,5,0,2,5,5,21382389
44375,10/06/2006,IL,3,4,4,5,0,1,5,3,12982784
41821,07/18/2011,FC,3,3,4,4,24,4,5,5,12849169
3014,12/04/1999,IL,3,4,4,5,0,1,4,7.5,13892994
11437,06/13/2009,IL,5,7.5,2,5,0,1,5,4,14290419
71008,12/28/2011,IL,5,5,4,5,0,2,5,5,14368714
33006,06/09/2007,FC,5,7.5,12,5,0,2,5,3,14849189
39478,03/05/1996,IL,25,4,12,5,0,1,5,5,22992847
19077,10/25/2013,FC,3,5,1,5,0,2,5,6,13030014
96743,06/30/2001,FC,10,5,4,5,0,1,5,5,16333309
82058,11/08/2013,IL,3,4,6,4,2,4,4,5,12832005
22231,12/30/2011,FC,3,3,4,5,0,1,8,4,14744890
15234,10/12/2013,FC,1,4,2,10,4,4,5,4,11474052
25614,06/07/2013,IL,4,4,6,5,4,1,5,4,13735040
87829,11/29/2007,FC,1,4,4,5,4,4,5,7.5,11691201
56588,09/28/2008,FC,1,4,12,5,0,1,8,5,15633499
34109,10/23/1999,IL,20,4,4,10,0,4,5,3,18780837
99853,07/04/2008,FC,2,4,6,4,5,2,4,5,12624418
12010,10/06/2007,IL,1,6,3,10,3,5,4,6,11517083
67254,07/18/2011,IL,5,4,2,4,0,2,8,2,13930853
89789,10/28/2012,IL,10,4,3,5,4,5,5,5,14403756
33336,03/05/1996,FC,2,4,2,5,0,2,5,7.5,12403826
46390,07/04/2011,FC,2,4,3,5,0,10,5,3,10825976
81350,10/17/2008,FC,4,4,4,4,0,1,4,7.5,14000871
86604,08/11/2010,FC,2,4,12,5,0,10,5,5,10907950
29504,05/01/2012,IL,10,5,3,5,0,20,8,7.5,10648792
71165,12/20/2003,DT,4,4,4,5,0,2,4,3,13836691
97109,10/26/2009,FC,5,7.5,2,5,0,1,8,5,13767161
87190,01/15/2013,FC,25,4,4,4,0,5,4,5,20526852
67068,09/15/2011,FC,3,4,12,5,4,1,5,5,14016060
26880,12/23/2011,FC,1,4,4,10,0,5,5,5,11956590
73818,04/21/2007,FC,20,4,15,5,3,25,4,3,12850989
63629,10/30/2013,FC,1,4,3,4,0,5,4,4,11413105
61974,01/20/2012,IL,3,4,12,8,0,1,4,5,14651133
13096,09/28/2008,FC,25,6,12,5,0,4,4,5,20163954
92366,10/30/2013,DT,4,7.5,1,5,3,1,4,5,15479026
90985,10/30/2013,FC,5,4,3,5,0,3,5,4,13895187
58072,07/12/2012,IL,20,4,1,5,2,15,5,5,15171439
4769,12/20/1997,FC,3,7.5,2,5,0,1,5,5,13557768
152,08/02/1995,IL,5,4,12,5,0,4,10,1,14017949
59360,10/06/2010,IL,4,6,2,5,3,5,4,2,12190474
64359,05/16/2008,FC,5,6,4,5,4,1,5,5,15158109
8629,06/18/2007,FC,25,4,3,5,0,3,5,5,20668975
52442,08/19/2006,FC,3,4,12,5,0,4,5,5,14160443
90059,12/18/2010,FC,2,4,6,4,4,1,10,4,12541831
91254,09/17/2009,FC,3,3,3,4,0,5,5,6,12160866
91880,03/27/2013,IL,4,4,3,10,0,2,4,5,14580803
76535,10/04/2013,FC,1,4,5,5,0,1,5,7.5,13180526
95390,03/19/2009,IL,4,3,6,5,0,4,5,5,13604539
37255,09/01/2001,FC,5,4,4,4,1,1,4,6,14277473
93989,03/16/2007,FC,5,4,9,10,4,3,5,3,14347691
53656,11/21/1999,FC,4,4,4,5,0,2,5,3,13078308
66968,08/14/2009,FC,25,3,12,5,0,4,5,4,21885868
98826,04/19/2013,FC,2,5,4,5,0,4,4,5,11756354
51457,11/22/2007,FC,4,5,6,5,4,1,4,5,13621769
47511,04/09/2000,IL,4,4,3,5,4,3,4,4,13283137
96567,06/01/2010,IL,5,4,2,10,4,1,5,4,13341846
84586,10/04/2013,FC,1,4,6,5,0,1,4,6,13028076
10429,08/27/1999,IL,4,5,2,5,0,5,5,4.5,13183969
20001,10/04/2000,FC,4,4,12,5,0,1,4,5,14900890
27339,01/07/2011,FC,4,4,4,8,0,5,5,5,13373054
7327,10/14/2013,FC,5,6,3,5,0,2,5,5,13771265
42457,02/07/2007,FC,15,7.5,4,5,0,1,4,5,15217640
96990,03/05/1996,FC,25,3,12,4,0,1,4,5,22113354
39435,10/15/2012,IL,2,4,2,5,30,4,5,2,9072027
44628,07/10/2013,FC,10,4,2,4,0,4,4,6,15150184
59865,09/28/2010,FC,1,6,2,5,24,2,4,2,9006136
98215,11/25/2009,FC,5,7.5,3,5,5,1,4,3,13173193
56668,05/05/2007,FC,1,5,2,5,0,1,5,5,13207462
7468,10/10/2013,FC,5,3,3,4,0,10,4,3,12174504
99713,12/07/2008,FC,2,4,3,4,0,1,4,3,13205439
73352,01/16/1999,IL,4,5,4,5,0,1,5,7.5,14362377
12804,10/04/2013,FC,1,3,4,5,3,1,5,3,12338570
75820,02/26/2011,FC,2,5,2,5,0,15,4,7.5,11494578
18093,04/12/2012,IL,4,4,5,5,24,1,4,5,12084854
42229,12/28/2010,IL,5,4,4,5,0,1,5,4,14842364
19326,03/09/1998,IL,3,3,2,5,0,5,8,4,12557346
46146,07/10/2004,FC,2,4,4,4,0,1,4,5,14280494
15815,11/25/2011,FC,5,4,6,5,18,5,4,5,12612383
74333,07/10/2013,FC,4,5,2,5,0,2,4,1,13480494
24625,08/15/2005,IL,5,6,4,5,3,5,5,5,12639895
57367,01/03/2013,FC,4,3,4,5,0,4,10,5,13403673
16563,01/31/2012,IL,15,4,4,5,3,1,5,5,17120137
20557,03/02/1998,FC,3,5,4,4,5,1,4,3,12924341
40155,08/03/2012,FC,3,4,12,5,0,1,4,5,14581036
54065,12/18/1998,IL,5,4,3,5,0,3,5,3,13323671
33626,06/09/2007,FC,5,5,5,10,3,1,4,4,13976539
23129,03/16/2007,FC,5,3,4,10,0,1,4,3,14689800
66042,08/01/2008,FC,1,4,3,5,4,3,8,3,11663589
7668,07/12/2013,IL,5,5,2,10,0,25,5,3,7493515
77446,12/17/2010,FC,3,5,2,5,0,2,4,3,13990556
48631,12/12/2011,FC,5,4,6,5,4,1,10,5,14445125
96714,06/16/2012,FC,15,4,3,5,0,4,4,7.5,16255871
81420,01/04/2014,IL,5,4,3,4,0,1,4,4,14337311
74677,06/05/2012,FC,3,6,4,8,0,1,4,5,14006729
79024,09/10/1998,IL,5,4,12,4,0,5,4,7.5,15036794
16214,12/08/2012,FC,25,4,4,5,0,1,5,5,21823100
57126,02/21/2013,IL,3,4,3,4,0,4,5,3,13729577
19692,09/15/2006,FC,20,6,4,5,0,1,4,2,19306119
76679,11/22/2007,IL,3,4,4,5,4,1,5,7.5,14443415
62188,12/30/2011,FC,2,6,3,4,3,2,5,3,12167677
97881,04/01/2000,IL,3,4,4,5,0,2,5,5,13889292
74358,12/20/2003,IL,5,7.5,4,5,0,5,4,5,13181727
35167,08/05/2011,FC,2,4,4,5,0,2,5,3,13370299
5058,03/26/2005,FC,4,3,2,5,0,1,8,4,14018870
36168,06/14/2013,FC,25,4,2,10,4,1,4,4,21263324
77941,03/06/2013,FC,2,6,2,5,0,2,5,2,12621437
68474,01/07/2011,IL,2,4,3,10,4,1,4,5,12748929
22771,10/18/2012,IL,25,3,4,5,0,15,4,3,17933425
24879,06/14/2013,IL,10,4,2,5,0,2,8,3,16115695
74401,05/02/2013,FC,5,5,4,5,0,4,5,4,14178237
18985,07/16/2012,FC,5,4,2,5,0,5,5,3,13106625
71906,09/06/1997,IL,4,4,3,5,0,1,4,5,13982728
50279,12/28/2010,IL,25,4,4,5,0,2,4,4,22769997
27368,05/30/2006,FC,3,4,2,4,24,1,4,5,10911799
91908,11/01/2006,FC,3,4,2,5,3,1,4,2,13661423
3488,01/15/2013,FC,5,4,2,5,0,5,8,4,13463424
94144,11/27/2011,IL,15,4,2,5,0,2,5,5,17982427
28653,10/10/2011,FC,3,4,2,5,5,2,8,5,13111948
53914,05/01/2013,FC,5,4,1,4,12,5,10,6,11519733
99461,11/13/2013,FC,5,4,2,4,0,2,5,5,14449662
16210,12/17/2006,IL,10,3,2,5,0,1,4,5,15622552
8606,12/23/2011,FC,5,4,6,5,0,3,5,4,14310904
30628,10/14/2013,FC,5,7.5,4,5,2,2,4,4,14306263
44703,06/06/2007,FC,3,6,4,5,4,1,4,6,12766361
23251,09/26/2003,FC,1,4,3,5,0,5,5,5,11509677
1239,08/25/2007,FC,4,4,4,10,0,4,5,5,13147314
38615,03/07/2011,IL,2,7.5,9,5,4,1,5,7.5,12895229
24011,03/07/2011,IL,3,4,2,5,4,2,4,3,12743305
14413,03/30/2002,FC,3,4,2,5,0,3,5,5,13003908
90325,07/28/2000,DT,1,4,2,5,3,2,4,5,12178438
75162,06/28/2012,FC,3,4,3,10,2,2,5,3,13002452
31620,07/23/2011,FC,2,5,5,5,0,1,4,2,14273047
62565,04/18/2006,IL,1,4,3,8,0,3,4,2,12743276
51698,03/18/2011,IL,3,4,4,4,5,5,4,4,12388932
10344,02/19/2010,FC,1,3,4,5,3,1,5,5,13143925
63625,03/05/2012,FC,5,3,15,4,0,1,5,2,15856120
49678,05/30/2006,FC,1,4,4,5,0,1,5,5,13064472
10741,12/30/2011,IL,4,4,4,5,0,1,10,5,14425704
79917,12/04/2012,IL,20,5,4,5,0,1,4,5,19981252
24726,04/04/2012,FC,2,4,4,5,3,25,4,5,6224522
93593,06/13/2006,FC,5,4,1,5,0,2,4,3,14030424
42003,06/30/2001,FC,2,4,5,4,0,1,5,5,14361533
15334,06/18/2007,IL,15,6,5,5,4,1,5,7.5,17495634
94182,10/06/2007,IL,3,4,4,8,5,3,5,5,12062935
97023,08/28/2009,FC,5,3,4,5,18,1,5,2,12141385
69784,08/01/2008,FC,3,3,2,4,3,10,5,5,11789273
32726,12/03/2013,FC,3,3,5,4,4,1,8,4.5,13456703
63495,10/28/2012,FC,3,4,2,5,0,3,4,6,12469615
4153,04/18/2008,IL,25,6,3,5,0,1,4,5,20397929
52947,01/01/2000,IL,25,6,4,5,3,4,4,2,19791785
48670,07/22/2010,FC,5,4,4,5,3,1,5,5,16419004
29946,08/11/2007,IL,5,4,12,5,0,2,10,4,15927623
89086,09/21/2012,IL,5,4,2,8,0,2,4,2,13820226
41322,12/23/2011,FC,5,4,4,5,24,3,4,6,10242858
42153,09/09/2005,IL,25,3,4,10,0,4,4,3,21300527
99572,11/19/2009,IL,3,6,4,5,0,1,4,5,13473906
12727,05/02/2013,FC,2,4,1,5,0,1,4,5,13088903
90792,02/09/2000,FC,5,4,2,8,0,4,8,7.5,13627714
55484,08/07/2013,FC,2,4,4,10,3,1,5,3,12997861
56738,04/14/2009,FC,4,5,5,5,0,5,5,2,12550628
60284,04/18/2008,FC,1,6,4,5,0,3,5,5,11714218
29645,11/17/2009,FC,5,4,12,10,0,4,10,6,14989306
5462,12/06/2013,IL,5,6,5,5,0,1,4,5,14229649
52730,05/01/2012,FC,3,4,2,10,4,4,4,5,12596234
20743,12/21/2012,IL,5,6,4,5,0,3,5,5,14443230
86472,12/03/2012,IL,5,6,6,5,2,1,8,6,14492194
90644,05/05/2007,FC,5,4,2,8,3,1,5,6,14499614
58790,10/26/2009,FC,5,4,9,5,0,1,4,1,13128486
25318,11/02/2000,FC,20,4,4,10,0,5,4,3,18504322
3388,07/31/2013,IL,3,6,3,5,0,15,5,3,8954173
69133,07/28/2000,IL,1,5,3,4,3,2,5,4,12120230
34503,11/22/2007,FC,5,5,2,4,3,10,5,1,11342061
9778,04/06/1998,FC,5,6,3,5,4,2,4,5,14638096
44470,06/05/2012,IL,15,5,3,10,0,10,4,5,15661454
67539,08/06/2009,IL,10,6,4,8,0,5,5,4,15282602
98235,06/14/2013,FC,5,4,4,5,4,1,4,2,14415916
5897,12/28/2011,IL,4,5,4,4,4,5,5,5,11615917
64069,01/26/2012,IL,2,6,3,5,4,5,5,4,12066338
43056,09/06/1997,FC,2,4,12,5,0,3,5,2,13677983
67791,10/17/2008,FC,5,4,3,4,5,25,5,7.5,7528643
80366,02/21/2013,IL,5,4,3,5,0,1,10,4.5,14720175
85977,12/17/2010,FC,25,3,3,5,0,1,5,3,21356831
95448,11/05/2008,IL,3,4,5,5,4,20,5,5,8223981
35788,02/27/2013,FC,5,6,4,5,3,5,10,4,12646745
21920,08/05/2011,FC,20,4,12,5,2,1,10,7.5,19261977
66328,06/06/2003,FC,25,6,2,5,0,1,4,3,20397475
12845,11/22/2012,FC,2,4,3,4,0,5,5,5,12071345
96240,11/13/2009,IL,3,3,5,10,0,1,5,2,13987161
87732,03/18/2011,IL,2,4,12,10,3,1,5,4,15340963
8276,01/07/2011,IL,4,4,4,5,0,2,5,5,16389599
54984,11/17/1995,FC,1,3,4,5,5,5,8,5,11396286
67302,05/18/2011,FC,2,4.5,1,5,0,4,5,5,12190492
83188,05/01/1998,FC,3,3,3,5,0,1,4,2,13808987
53721,05/01/1998,FC,3,3,3,5,0,5,5,4,13427790
36681,03/02/1998,FC,5,3,5,5,0,1,4,5,14967708
67563,11/27/2008,FC,1,4,2,10,0,2,4,3,12762588
8185,09/04/2009,IL,3,4,12,10,0,1,4,5,14845569
